Shipment_ID,Plant_ID,Shipment_Date,Mode_of_Transport,Weight_Tons,Distance_KM
SHP_00152,PLNT_02,22-09-2024,Heavy Truck,4.29,632.12
SHP_00153,PLNT_01,14-11-2025,Ocean Cargo,24.64,9585.44
SHP_00154,PLNT_05,27-04-2024,Ocean Cargo,7.95,2501.84
SHP_00155,PLNT_02,11-04-2024,Ocean Cargo,6.03,1655.75
SHP_00156,PLNT_03,13-06-2025,Ocean Cargo,20.18,7452.31
SHP_00157,PLNT_04,02-04-2024,Ocean Cargo,19.89,9606.79
SHP_00158,PLNT_05,25-08-2024,Ocean Cargo,19.21,4164.59
SHP_00159,PLNT_04,11-02-2025,Ocean Cargo,9.36,9711.86
SHP_00160,PLNT_02,01-11-2024,Heavy Truck,22.85,750.21
SHP_00161,PLNT_01,01-07-2025,Ocean Cargo,23.77,3289.52
SHP_00162,PLNT_02,19-08-2026,Heavy Truck,2.65,442.53
SHP_00163,PLNT_03,11-06-2024,Rail,9.02,307.81
SHP_00164,PLNT_03,10-06-2025,Heavy Truck,2.41,703.47
SHP_00165,PLNT_04,15-11-2026,Heavy Truck,20.11,713.75
SHP_00166,PLNT_03,03-01-2026,Heavy Truck,1.71,739.86
SHP_00167,PLNT_02,11-11-2024,Heavy Truck,6.3,780.79
SHP_00168,PLNT_04,23-12-2025,Heavy Truck,8.07,257.27
SHP_00169,PLNT_05,27-03-2024,Ocean Cargo,10.05,10021.76
SHP_00170,PLNT_03,02-05-2024,Heavy Truck,10.74,765.01
SHP_00171,PLNT_02,27-03-2025,Heavy Truck,4.44,327.17
SHP_00172,PLNT_03,03-11-2026,Rail,2.72,227.17
SHP_00173,PLNT_02,05-06-2025,Heavy Truck,13.59,122.83
SHP_00174,PLNT_03,26-05-2026,Ocean Cargo,4.81,1525.47
SHP_00175,PLNT_01,17-05-2024,Ocean Cargo,16.96,1183.99
SHP_00176,PLNT_01,11-02-2025,Ocean Cargo,9.44,11397.52
SHP_00177,PLNT_03,23-11-2025,Ocean Cargo,7.42,10146.36
SHP_00178,PLNT_02,04-11-2026,Heavy Truck,6.57,344.59
SHP_00179,PLNT_02,02-05-2026,Ocean Cargo,11.99,10202.22
SHP_00180,PLNT_05,27-07-2024,Heavy Truck,9.29,692.23
SHP_00181,PLNT_04,24-11-2024,Heavy Truck,22.5,632.04
SHP_00182,PLNT_05,12-09-2025,Heavy Truck,10.77,157.29
SHP_00183,PLNT_05,01-01-2025,Rail,11.53,401.72
SHP_00184,PLNT_01,12-05-2024,Rail,5.59,508.15
SHP_00185,PLNT_01,02-10-2026,Heavy Truck,8.36,179.79
SHP_00186,PLNT_01,25-02-2025,Ocean Cargo,24.37,1792.13
SHP_00187,PLNT_04,25-07-2024,Ocean Cargo,16.11,6277.62
SHP_00188,PLNT_01,10-01-2024,Heavy Truck,8.63,551.23
SHP_00189,PLNT_02,15-11-2025,Ocean Cargo,18.84,8088.06
SHP_00190,PLNT_02,05-04-2026,Ocean Cargo,10.56,4306.33
SHP_00191,PLNT_02,16-02-2025,Heavy Truck,14.12,546.4
SHP_00192,PLNT_02,10-07-2026,Heavy Truck,2.94,400.51
SHP_00193,PLNT_01,15-03-2026,Heavy Truck,17.53,669.56
SHP_00194,PLNT_01,20-11-2025,Ocean Cargo,11.55,308.92
SHP_00195,PLNT_01,01-11-2024,Heavy Truck,16.92,649.99
SHP_00196,PLNT_03,10-02-2025,Ocean Cargo,11.03,11119.05
SHP_00197,PLNT_04,12-07-2024,Ocean Cargo,15.47,5898.28
SHP_00198,PLNT_01,26-08-2024,Rail,9.43,772.68
SHP_00199,PLNT_05,17-09-2024,Heavy Truck,14.12,289.84
SHP_00200,PLNT_04,07-06-2025,Air Freight,11.37,11025.66
SHP_00201,PLNT_03,04-03-2024,Ocean Cargo,8.7,5015.98
SHP_00202,PLNT_04,12-05-2026,Heavy Truck,18.71,67.13
SHP_00203,PLNT_02,26-10-2024,Heavy Truck,6.2,260.92
SHP_00204,PLNT_04,13-04-2025,Heavy Truck,8,702.44
SHP_00205,PLNT_05,07-06-2024,Heavy Truck,23,69.84
SHP_00206,PLNT_03,04-10-2025,Heavy Truck,11.88,611.87
SHP_00207,PLNT_04,15-04-2024,Ocean Cargo,14.24,1106.48
SHP_00208,PLNT_02,10-03-2024,Ocean Cargo,8.53,252.15
SHP_00209,PLNT_01,15-06-2024,Ocean Cargo,11.64,11670.81
SHP_00210,PLNT_05,21-05-2026,Heavy Truck,21.29,735.03
SHP_00211,PLNT_04,25-10-2026,Ocean Cargo,13.7,10330.05
SHP_00212,PLNT_01,26-12-2026,Ocean Cargo,3.24,10146.91
SHP_00213,PLNT_02,07-03-2024,Ocean Cargo,18.18,1736.29
SHP_00214,PLNT_01,13-10-2024,Ocean Cargo,3.87,2372.71
SHP_00215,PLNT_03,18-01-2025,Rail,11.22,654.88
SHP_00216,PLNT_03,01-07-2025,Ocean Cargo,17.71,6559.17
SHP_00217,PLNT_04,23-12-2026,Heavy Truck,4.82,377.51
SHP_00218,PLNT_02,01-12-2026,Ocean Cargo,1.69,9030.43
SHP_00219,PLNT_05,19-05-2024,Ocean Cargo,18.73,7930.86
SHP_00220,PLNT_01,18-04-2025,Heavy Truck,4.41,274.48
SHP_00221,PLNT_03,12-09-2026,Ocean Cargo,16.55,10032.39
SHP_00222,PLNT_05,07-12-2024,Heavy Truck,9.12,471.17
SHP_00223,PLNT_01,03-10-2024,Air Freight,9.89,8629.35
SHP_00224,PLNT_03,09-05-2024,Air Freight,23.7,3345.75
SHP_00225,PLNT_03,26-12-2025,Ocean Cargo,10.91,5488.07
SHP_00226,PLNT_02,01-01-2026,Heavy Truck,21.36,610.17
SHP_00227,PLNT_01,15-09-2026,Ocean Cargo,21.01,7611.38
SHP_00228,PLNT_01,06-04-2024,Ocean Cargo,21.13,6517.87
SHP_00229,PLNT_05,11-04-2025,Heavy Truck,19.59,790
SHP_00230,PLNT_01,17-06-2024,Heavy Truck,14.01,153.7
SHP_00231,PLNT_01,20-10-2025,Ocean Cargo,20.14,5778.48
SHP_00232,PLNT_04,17-08-2024,Ocean Cargo,7.45,11461.25
SHP_00233,PLNT_05,22-10-2026,Ocean Cargo,13.35,9399.68
SHP_00234,PLNT_02,06-10-2024,Ocean Cargo,14.31,4499.53
SHP_00235,PLNT_01,21-11-2025,Air Freight,1.97,10209.56
SHP_00236,PLNT_03,19-02-2025,Ocean Cargo,19.48,9267.57
SHP_00237,PLNT_05,02-03-2025,Rail,6.72,181.55
SHP_00238,PLNT_03,19-02-2024,Heavy Truck,20.54,680.8
SHP_00239,PLNT_02,02-04-2024,Heavy Truck,24.37,384.22
SHP_00240,PLNT_05,07-04-2025,Ocean Cargo,2.01,10731.23
SHP_00241,PLNT_05,13-08-2026,Ocean Cargo,21.25,6428.49
SHP_00242,PLNT_01,06-09-2025,Rail,12.11,454.8
SHP_00243,PLNT_04,24-01-2025,Ocean Cargo,13.44,6379.69
SHP_00244,PLNT_04,03-10-2026,Ocean Cargo,5.07,5077.2
SHP_00245,PLNT_05,08-06-2025,Heavy Truck,2,164.98
SHP_00246,PLNT_01,06-02-2025,Ocean Cargo,20.57,2546.23
SHP_00247,PLNT_01,18-04-2024,Ocean Cargo,6.29,7612.44
SHP_00248,PLNT_03,09-11-2025,Heavy Truck,6.18,788.49
SHP_00249,PLNT_05,15-12-2024,Heavy Truck,17.55,477.76
SHP_00250,PLNT_04,14-06-2026,Ocean Cargo,14.69,10448.75
SHP_00251,PLNT_05,14-10-2025,Air Freight,16,1854.38
SHP_00252,PLNT_01,27-04-2025,Heavy Truck,15.75,708.77
SHP_00253,PLNT_01,24-11-2025,Heavy Truck,19.06,778.57
SHP_00254,PLNT_03,24-04-2026,Air Freight,19.59,4152
SHP_00255,PLNT_04,02-11-2026,Heavy Truck,4.27,625.86
SHP_00256,PLNT_02,08-09-2025,Heavy Truck,7.08,462.11
SHP_00257,PLNT_04,05-07-2026,Heavy Truck,24.93,252.93
SHP_00258,PLNT_03,17-11-2024,Ocean Cargo,21.92,3704.23
SHP_00259,PLNT_01,15-09-2025,Heavy Truck,22.77,518.43
SHP_00260,PLNT_05,20-10-2025,Ocean Cargo,13.64,2219.66
SHP_00261,PLNT_05,19-10-2025,Ocean Cargo,8.43,924.47
SHP_00262,PLNT_05,01-07-2025,Heavy Truck,5.29,509.51
SHP_00263,PLNT_04,27-01-2024,Rail,10.59,361.42
SHP_00264,PLNT_01,22-09-2025,Heavy Truck,14.98,72.56
SHP_00265,PLNT_03,24-06-2024,Ocean Cargo,11.6,2210.77
SHP_00266,PLNT_04,15-08-2024,Ocean Cargo,23.76,2860.88
SHP_00267,PLNT_01,12-09-2024,Heavy Truck,13.74,85.81
SHP_00268,PLNT_03,10-11-2026,Ocean Cargo,16.5,4064.69
SHP_00269,PLNT_01,03-01-2026,Heavy Truck,7.28,444.91
SHP_00270,PLNT_05,14-11-2026,Heavy Truck,1.58,503.43
SHP_00271,PLNT_05,06-10-2025,Heavy Truck,20.33,599.47
SHP_00272,PLNT_04,17-07-2024,Ocean Cargo,22.8,11131.89
SHP_00273,PLNT_02,01-08-2026,Rail,24.07,436.64
SHP_00274,PLNT_01,04-05-2025,Ocean Cargo,6.57,8143.89
SHP_00275,PLNT_04,21-10-2026,Ocean Cargo,12.88,3963.91
SHP_00276,PLNT_01,26-10-2025,Air Freight,8.19,11800.06
SHP_00277,PLNT_05,18-12-2025,Ocean Cargo,10.94,9278.7
SHP_00278,PLNT_05,15-10-2026,Ocean Cargo,6.34,5643.67
SHP_00279,PLNT_03,23-02-2025,Ocean Cargo,16.03,1538.28
SHP_00280,PLNT_01,17-05-2024,Heavy Truck,16.68,294.54
SHP_00281,PLNT_03,25-01-2024,Heavy Truck,21.61,131.68
SHP_00282,PLNT_04,23-01-2025,Heavy Truck,3.13,570.33
SHP_00283,PLNT_01,27-10-2025,Heavy Truck,3.42,222.28
SHP_00284,PLNT_02,07-05-2025,Heavy Truck,6.33,58.02
SHP_00285,PLNT_01,09-04-2024,Heavy Truck,13,187.34
SHP_00286,PLNT_05,20-06-2024,Ocean Cargo,15.13,5931.08
SHP_00287,PLNT_05,22-01-2026,Heavy Truck,15.01,677.11
SHP_00288,PLNT_04,16-03-2024,Ocean Cargo,7.01,9725.37
SHP_00289,PLNT_04,12-09-2025,Heavy Truck,3.52,539.22
SHP_00290,PLNT_03,24-10-2026,Heavy Truck,2.05,695.63
SHP_00291,PLNT_05,02-03-2026,Ocean Cargo,7.38,413.96
SHP_00292,PLNT_04,04-02-2024,Heavy Truck,2.2,769.44
SHP_00293,PLNT_02,10-08-2024,Heavy Truck,22.81,618.83
SHP_00294,PLNT_05,04-08-2026,Ocean Cargo,17.77,5204.65
SHP_00295,PLNT_02,25-02-2024,Ocean Cargo,9,2591.37
SHP_00296,PLNT_04,09-03-2026,Ocean Cargo,10.52,3697.41
SHP_00297,PLNT_01,07-03-2025,Heavy Truck,19.74,494.61
SHP_00298,PLNT_05,14-11-2025,Ocean Cargo,22.37,2116.63
SHP_00299,PLNT_05,23-03-2026,Ocean Cargo,23.01,11957.85
SHP_00300,PLNT_01,22-06-2025,Heavy Truck,2.5,627.49
SHP_00301,PLNT_03,16-06-2024,Heavy Truck,12.46,459.72
SHP_00302,PLNT_04,23-06-2026,Ocean Cargo,11.55,6402.21
SHP_00303,PLNT_05,02-12-2025,Ocean Cargo,2.96,137.62
SHP_00304,PLNT_04,09-02-2026,Ocean Cargo,6.79,5273.36
SHP_00305,PLNT_02,07-02-2026,Heavy Truck,1.9,218.13
SHP_00306,PLNT_05,26-05-2026,Heavy Truck,24.68,50.85
SHP_00307,PLNT_05,11-05-2024,Heavy Truck,2.52,429.34
SHP_00308,PLNT_02,23-05-2025,Heavy Truck,9.01,50.79
SHP_00309,PLNT_02,18-09-2025,Heavy Truck,19.82,361.96
SHP_00310,PLNT_01,10-03-2026,Rail,15.48,148.84
SHP_00311,PLNT_03,07-08-2024,Heavy Truck,1.78,97.84
SHP_00312,PLNT_04,02-08-2024,Heavy Truck,15.24,372.22
SHP_00313,PLNT_01,08-10-2024,Rail,6.98,339.1
SHP_00314,PLNT_03,22-01-2025,Heavy Truck,21.56,341.74
SHP_00315,PLNT_04,25-10-2025,Ocean Cargo,16.39,9225.16
SHP_00316,PLNT_01,08-12-2025,Ocean Cargo,15.69,7427.68
SHP_00317,PLNT_03,13-09-2025,Heavy Truck,24,771.77
SHP_00318,PLNT_04,02-12-2026,Heavy Truck,9.33,344.12
SHP_00319,PLNT_05,22-05-2026,Heavy Truck,3.75,363.73
SHP_00320,PLNT_04,21-09-2026,Heavy Truck,20.82,408.46
SHP_00321,PLNT_05,10-07-2026,Heavy Truck,1.51,498.7
SHP_00322,PLNT_05,13-10-2024,Ocean Cargo,11.75,3233.06
SHP_00323,PLNT_01,11-02-2025,Ocean Cargo,20.32,11955.88
SHP_00324,PLNT_05,01-05-2025,Ocean Cargo,4.87,5513.68
SHP_00325,PLNT_05,26-10-2024,Ocean Cargo,19.72,8374.31
SHP_00326,PLNT_01,21-01-2024,Ocean Cargo,17.22,1283.43
SHP_00327,PLNT_04,05-09-2024,Ocean Cargo,14.28,10420.07
SHP_00328,PLNT_03,20-10-2026,Heavy Truck,6.67,219.73
SHP_00329,PLNT_02,15-09-2025,Heavy Truck,10.5,690.66
SHP_00330,PLNT_04,04-06-2025,Ocean Cargo,22.19,1375.86
SHP_00331,PLNT_02,10-07-2026,Air Freight,19.41,2068.1
SHP_00332,PLNT_02,14-10-2024,Ocean Cargo,8.64,5097.67
SHP_00333,PLNT_05,15-05-2026,Heavy Truck,10.57,235.68
SHP_00334,PLNT_05,03-12-2026,Ocean Cargo,24.17,9870.72
SHP_00335,PLNT_01,19-07-2025,Ocean Cargo,5.58,3320.86
SHP_00336,PLNT_03,21-10-2025,Ocean Cargo,23,371.64
SHP_00337,PLNT_04,26-11-2025,Ocean Cargo,10.17,7512.65
SHP_00338,PLNT_01,05-07-2026,Heavy Truck,13.95,507.22
SHP_00339,PLNT_04,19-04-2025,Heavy Truck,4.45,794.38
SHP_00340,PLNT_01,22-08-2025,Heavy Truck,10.09,793.8
SHP_00341,PLNT_05,15-01-2024,Heavy Truck,15.17,259.46
SHP_00342,PLNT_01,02-03-2024,Heavy Truck,22.18,778.92
SHP_00343,PLNT_02,21-07-2024,Heavy Truck,7.61,446.55
SHP_00344,PLNT_02,06-01-2026,Heavy Truck,7.46,593.95
SHP_00345,PLNT_03,20-10-2025,Ocean Cargo,15.04,4960.78
SHP_00346,PLNT_01,01-11-2026,Heavy Truck,16.21,56.11
SHP_00347,PLNT_05,10-06-2025,Ocean Cargo,22.44,8476.38
SHP_00348,PLNT_04,16-06-2025,Ocean Cargo,5.7,5450.33
SHP_00349,PLNT_01,19-09-2025,Ocean Cargo,8.27,9701.08
SHP_00350,PLNT_03,06-11-2024,Heavy Truck,20.06,621.86
SHP_00351,PLNT_02,21-06-2026,Heavy Truck,10.26,240.1
SHP_00352,PLNT_03,06-10-2025,Heavy Truck,21.81,699.07
SHP_00353,PLNT_04,10-07-2026,Heavy Truck,15.2,50.67
SHP_00354,PLNT_04,20-03-2025,Ocean Cargo,7.45,9120.74
SHP_00355,PLNT_01,12-02-2025,Heavy Truck,13.58,497.78
SHP_00356,PLNT_03,03-06-2026,Heavy Truck,3.71,659.03
SHP_00357,PLNT_03,02-04-2025,Ocean Cargo,12.88,193.49
SHP_00358,PLNT_01,23-06-2026,Heavy Truck,24.36,654.25
SHP_00359,PLNT_05,20-12-2025,Ocean Cargo,12.67,8786.94
SHP_00360,PLNT_03,09-11-2026,Ocean Cargo,16.5,4393.15
SHP_00361,PLNT_01,11-08-2025,Ocean Cargo,11.38,10451.02
SHP_00362,PLNT_05,05-05-2025,Rail,12.27,679.44
SHP_00363,PLNT_02,25-12-2025,Heavy Truck,23.27,253.18
SHP_00364,PLNT_05,08-02-2025,Rail,6.63,398.41
SHP_00365,PLNT_05,12-11-2025,Heavy Truck,18.14,356.68
SHP_00366,PLNT_02,27-10-2025,Air Freight,2.82,3700
SHP_00367,PLNT_04,05-02-2026,Ocean Cargo,17.17,1756.9
SHP_00368,PLNT_02,16-05-2024,Ocean Cargo,19.39,8759.49
SHP_00369,PLNT_02,01-01-2025,Ocean Cargo,18.53,1163.88
SHP_00370,PLNT_02,11-10-2026,Heavy Truck,8.6,405.09
SHP_00371,PLNT_03,14-05-2025,Ocean Cargo,2.9,6329.31
